sentence,compound,pos,neu,neg,transcript_id
Okay.,0.2263,1.0,0.0,0.0,pp15
And  last question.,0.0,0.0,1.0,0.0,pp15
Why do you think you should get the job?,0.0,0.0,1.0,0.0,pp15
Okay.,0.2263,1.0,0.0,0.0,pp15
Um so I think that I can bring like with the the my skills and experience is um someone who is really can work well under stress.,0.2648,0.154,0.758,0.088,pp15
I may not talk well under stress-- [laughs] [Laughs] --but I can work well under stress.,-0.3087,0.253,0.439,0.308,pp15
Um I think my academic being um you know having the rigorous undergraduate curriculum at MIT has made me really hone my time management skills.,-0.2732,0.0,0.92,0.08,pp15
Um the other week I had to juggle um um  you know  throwing together a large event for a student's club  um and have meetings with cultural chairs of the other clubs.,0.0,0.0,1.0,0.0,pp15
Um I've also had to  at the same time there was a big event that my sorority was organizing that I also have to help contribute to.,0.4019,0.094,0.906,0.0,pp15
Mm-hm.,0.0,0.0,1.0,0.0,pp15
And  like  uh my  I had a friend who's also going through a tough time  so I had to  like  help her out.,0.8555,0.359,0.592,0.049,pp15
That  and then complete school work.,0.0,0.0,1.0,0.0,pp15
And also  um  you know  just keep on the lookout  now that I'm a junior  there's a lot of like  you know  opportunities and needs  such as like fellowships  and then  like  programs of like IP  over the summer  that have  like  application deadlines coming up-- Mm-hm.,0.9201,0.269,0.731,0.0,pp15
--and just being able to balance all of that.,0.0,0.0,1.0,0.0,pp15
Um and so far um I think that  like  my experiences um that I was able to be on top of all of those deadlines.,0.5106,0.158,0.842,0.0,pp15
Not only now  but  like  in the past  and I think that says a lot about um my ability to  you know  work hard and also  you know  balance out my lifestyle.,0.6808,0.168,0.788,0.043,pp15
Great!,0.6588,1.0,0.0,0.0,pp15
So um I think that this would be a huge asset at your company.,0.5859,0.286,0.714,0.0,pp15
Please tell me a little bit more about your background.,0.3182,0.204,0.796,0.0,pp16
Umm  so I'm a Junior at MIT  umm studying economics  umm and planning on minoring in biology  perhaps concentrating in anthropology.,0.0,0.0,1.0,0.0,pp16
Umm  I'm interested in pursuing a degree in Public Health after  right after MIT  umm and either waiting to do an MD  or combining those two at the same time.,0.4019,0.085,0.915,0.0,pp16
Umm  what I'm really interested is health care disparities  umm especially in  in the field of international health  umm specifically kind of doing uh cost evaluation of different health projects  umm working towards  uh figuring out how resources can best be allocated  and best be used to maximize efficiency.,0.9524,0.28,0.72,0.0,pp16
Umm  and then here at MIT I'm also involved in an organization called Glommid  umm and we  what we do is we're partnered with an organization in Togo  umm and they work with HIV/AIDS patients there and they are the primary HIV/AID care provider  umm  outside of the public health system there.,0.4939,0.059,0.941,0.0,pp16
Umm  and so what we do is we fundraise for them throughout the year and then in the summer we go and implement a project there.,0.0,0.0,1.0,0.0,pp16
Oh  ok great.,0.743,0.863,0.137,0.0,pp16
And do you think you are a leader?,0.0,0.0,1.0,0.0,pp16
Tell me more.,0.0,0.0,1.0,0.0,pp16
Umm  I think that definitely over the MIT  my MIT career  I've evolved more as a leader.,0.4019,0.144,0.856,0.0,pp16
Ok.,0.0,0.0,1.0,0.0,pp16
Umm  of the  umm actually the co-president of Glommid  umm last year  so the club started last year  uh  but the presidents were not very invested in the club  umm  and what I learned from that was I guess  the experience was  taught me some things what leaders shouldn't be  but I think really I've learned whats effective as a leader so far  by doing things differently this semester.,0.631,0.058,0.942,0.0,pp16
Um  some of the things like even just the really little basic things seem to really have an impact  so for example  for our staff meetings which is the whole general body meeting  umm we're sending  we send out a little doodle form beforehand and it kinda just has  you know what concerns do you have  umm do you feel like you're really involved  like umm  and there's also just a little section  like kudos to someone for doing a great job this week.,0.9445,0.18,0.82,0.0,pp16
And just having that  like interaction and then also we like follow up on any concerns  umm I think the members really have liked that  and so far compared to last year everyone like even the people who are just general body members not even like an exec are much more invested than some of the exec members last year and I think thats because we realized last year what we really were lacking  umm  like my current co-president realized that what we were lacking was really a sense of community and in order to be effective and to really establish a strong relationship with our partner and to fundraise and really come up with a strong project  we need to focus within ourselves first.,0.9635,0.163,0.822,0.015,pp16
Umm  so that experience definitely has taught me a lot about leadership.,0.4522,0.212,0.788,0.0,pp16
Great  ok.,0.6249,0.804,0.196,0.0,pp16
Do you consider yourself a team player  and can you give me an example of when there was a conflict within your team and you had to resolve it?,0.0772,0.082,0.846,0.072,pp16
Umm  yea ok.,0.0,0.0,1.0,0.0,pp16
So  conflict.,-0.3804,0.0,0.278,0.722,pp16
Umm  well i guess I'll use an example from last year for Glommid.,0.2732,0.149,0.851,0.0,pp16
Umm  so we were partnered with a different organization last year  and we  what  how it works is a national organization  theres fifty chapters  umm and we had a partner in Laos  and all of a sudden last minute  they said we could no longer go and implement the project.,-0.296,0.0,0.957,0.043,pp16
So I was the person in charge of organizing the trip  that my role on exec  so that was really hard for me because I felt kind of betrayed kind of by the co-presidents and by nationals umm  because the reason was because the Laotian government would see us volunteer tourism and they could get their NGO status revoked since Laos just started having NGO's.,-0.7172,0.0,0.913,0.087,pp16
So that was something I kind of was unsure about like are we sure we can go here  like Laos is very not welcoming towards Americans because of  past.,0.385,0.203,0.667,0.13,pp16
And so  I felt really kind of let down by umm  by them.,0.0,0.0,1.0,0.0,pp16
And I think everyone on the Glommid team also felt really let down  because it was February  we had been fundraising all year  planning campaigns  umm and this  so what we did I think  umm  like I switched over to campaigns coordinator and I still like tried to keep everyone invested and excited for our campaign to still fundraise for them  because it wasn't because they were a bad organization that we couldn't go  it was because that the government wouldn't allow it  and we didn't want to risk them losing their NGO status for a project.,0.0583,0.086,0.83,0.084,pp16
Umm  so what  I  went through the campaign  I tried to get people to focus more  just remember what our partner does  why we are doing this  umm and not focus so much on kind of the miscommunication that happened between nationals and the partner organization.,0.0,0.0,1.0,0.0,pp16
Umm  and then through this summer  and through this fall i've been trying to keep in contact with our partner  our old partner  although we are repartnered now  umm  to see how our  the money we raised like how that project is going and to try and keep people informed about what's going on  so that it doesn't feel like last year was a complete failure.,-0.4423,0.035,0.888,0.076,pp16
Ok.,0.0,0.0,1.0,0.0,pp16
Yea.,0.0,0.0,1.0,0.0,pp16
Great.,0.6249,1.0,0.0,0.0,pp16
And if you were given an option to change one thing about yourself what would it be?,0.0,0.0,1.0,0.0,pp16
Oh  thats a tough question.,-0.128,0.0,0.727,0.273,pp16
Umm  I think sometimes i can lack a bit of confidence in bigger group settings.,0.25,0.177,0.699,0.124,pp16
Umm  and it usually takes me a little bit to get comfortable with the situation  so I think  I've definitely  and this is something i've been working on to be more proactive and in larger group situations  but for example like big lectures  asking questions or things like that I usually try and avoid  but I've been trying to push myself to become more vocal.,0.8292,0.169,0.794,0.038,pp16
Great.,0.6249,1.0,0.0,0.0,pp16
And last question  why do you think you should get the job?,0.0,0.0,1.0,0.0,pp16
Uh  I think I should get the job because I think what my assets are I combine Econ and health  which is kind of rare to have as an undergraduate to have this combination.,0.1779,0.049,0.951,0.0,pp16
And I've done  I've taken a lot of classes  I'm involved in a national development  both from the technical side of Econ  the anthropological and the health side.,0.0,0.0,1.0,0.0,pp16
And also my involvement in Glommid has also taught me a lot about the realities of international health and international development that I don't think necessarily come through a class.,0.0,0.0,1.0,0.0,pp16
Great!,0.6588,1.0,0.0,0.0,pp16
How have you been?,0.0,0.0,1.0,0.0,pp17
Been all right.,0.0,0.0,1.0,0.0,pp17
School’s uh  you know  it’s always that time in the middle of the semester.,0.0,0.0,1.0,0.0,pp17
Yeah it’s nuts.,-0.0258,0.4,0.182,0.418,pp17
All right so can you tell me a little bit more about your background Um yes so I am a junior here at MIT in Computer Science and Engineering um and most of my experience here has been actually at the Game Lab on campus so I’ve worked there for the past few years and I’ve worked on many different kinds of projects in various languages and with different people.,0.4019,0.038,0.962,0.0,pp17
Um and uh also uh I’ve taken courses here in algorithms  uh in graphics  uh also software construction.,0.0,0.0,1.0,0.0,pp17
But I’ve really found algorithms to be something that I’m really interested in  I think they’re really beautiful and elegant  they can accomplish a lot.,0.9639,0.462,0.538,0.0,pp17
And in my spare time I like to um do yoga  I’m not very good at it  and I love food so finding hidden gems in the city is really fun.,0.8258,0.258,0.676,0.066,pp17
Great and do you think you’re a leader?,0.6249,0.369,0.631,0.0,pp17
Tell me why.,0.0,0.0,1.0,0.0,pp17
Uh yes I am.,0.4019,0.474,0.526,0.0,pp17
So um last semester here at MIT I took  as I mentioned  a software construction class and um in this class we had you know quite a few projects and some of these were group projects.,0.0,0.0,1.0,0.0,pp17
So the first group project that we had in the class  um I was working with uh two of my peers.,0.0,0.0,1.0,0.0,pp17
They seemed um like nice people and all but we were having issues um you know actually getting things done.,0.3919,0.169,0.831,0.0,pp17
Getting a time when we could all meet and um you know that sort of thing.,0.0,0.0,1.0,0.0,pp17
So uh it looked like no one was really stepping up so I decided to step up and um I made sure to contact everyone in the group and um you know got us working together um and we met up.,0.3818,0.107,0.844,0.049,pp17
And you know I made sure that we were always on task and took notes on what we were doing um so that when it came to actually implementing our ideas that we actually had some sort of structure and our project turned out really great uh at the end.,0.7713,0.122,0.878,0.0,pp17
There was a bit of a time crunch but all in all I think we worked together really well and I’m very pleased with how it turned out.,0.8115,0.221,0.779,0.0,pp17
Great okay.,0.7184,1.0,0.0,0.0,pp17
Do you consider yourself a team player and can you give me an example where there was a conflict in your team and you had to resolve it.,0.0772,0.084,0.841,0.074,pp17
I do consider myself a team player.,0.0,0.0,1.0,0.0,pp17
Um worked on many teams.,0.0,0.0,1.0,0.0,pp17
So in this same software construction class ironically the second group project which was our final project for the course did not go quite as planned.,0.0,0.0,1.0,0.0,pp17
So I was working with two other people and uh in this case I tried to get us working together and tried to do my part for our project but uh they were not having it and um they actually ended up overwriting my code multiple times instead of you know allowing me to contribute to the project um even after I spoke to them about it and told them there were tools um that could help resolve conflicts in the code and they just weren’t cooperating.,0.5499,0.074,0.89,0.036,pp17
Um and so I ended up having to go talk to my TA and talking to my course administrator here and also to the student support services to see you know what  how I could resolves the situation because I had done everything that I thought I could.,0.5267,0.087,0.913,0.0,pp17
Um so that turned out okay at the end but sometimes things are out of your control and I think those are the hardest problems to confront but um you know uh it’s okay to ask for help sometimes I think that it ended up okay in the end.,0.4767,0.166,0.738,0.096,pp17
Great.,0.6249,1.0,0.0,0.0,pp17
Um if you were given an option to change one thing about yourself  what would it be?,0.0,0.0,1.0,0.0,pp17
Ooh  that’s a toughie.,-0.1779,0.0,0.638,0.362,pp17
Hmm I think  if I had one thing I could change it would probably be being more aggressive  which aggressive is a scary word perhaps so um perhaps being more assertive.,-0.7146,0.0,0.801,0.199,pp17
I’ve always been a pretty quiet person um even when I was growing up and this is something that like in elementary school my teachers would say that  “Oh” you know on my progress reports  “[Stephie?],0.8481,0.242,0.758,0.0,pp17
Is a very quiet and sweet girl” but they didn’t really have anything else to say because I was so quiet.,0.2805,0.096,0.904,0.0,pp17
Um and you know even now sometimes being around people can make me nervous and this is something that I’ve been working on um you know over you know since I can remember I guess.,-0.2732,0.0,0.942,0.058,pp17
And as of late I’ve been trying to take a more active role in you know overcoming my fear of people.,-0.0534,0.119,0.754,0.127,pp17
Uh I uh a few years ago worked at a Starbucks for about a year.,0.0,0.0,1.0,0.0,pp17
Yeah back in  this was in downtown Boston in the financial district  so of all the customers you could possibly have at a Starbucks  these were the probably the most challenging ones that you could have.,0.4754,0.107,0.893,0.0,pp17
So after working there and dealing with these people I feel like I can pretty much you know  I can deal with anyone even if it makes me sort of nervous.,0.5118,0.158,0.776,0.066,pp17
Um you know I’ve been there so I can sort of take my experiences form there and apply them to what I encounter nowadays.,0.0,0.0,1.0,0.0,pp17
Great okay last question.,0.7184,0.75,0.25,0.0,pp17
Why do you think you should get the job?,0.0,0.0,1.0,0.0,pp17
Hm  well uh I have a lot of experience uh working at the Game Lab here and that coupled with you know what I’ve learned in classes I think makes me a really good fit for this job.,0.7947,0.187,0.813,0.0,pp17
I have  um so when I was working at the Game Lab I worked on many  many projects so pretty much one project a semester and these projects varied widely.,0.6269,0.124,0.876,0.0,pp17
They were in different languages  the topics were different.,0.0,0.0,1.0,0.0,pp17
Some were more technical  some weren’t’.,0.0,0.0,1.0,0.0,pp17
Some were more fully specified than others.,0.0,0.0,1.0,0.0,pp17
And so given that I’ve touched upon such a wide range of things  I think that I’m very adaptable.,0.0,0.0,1.0,0.0,pp17
Uh and also um at this Game Lab  I’ve worked in lots of teams  so I feel like I have a strong grasp of teamwork and having worked at that Starbucks  I’ve really learned to deal with all sorts of people so I feel like that’s a good asset to have for this job.,0.9221,0.225,0.775,0.0,pp17
Great!,0.6588,1.0,0.0,0.0,pp17
Tell me a little more about your life.,0.0,0.0,1.0,0.0,pp20
OK  um... this is separate from the other time  right?,0.4466,0.246,0.754,0.0,pp20
Yes.,0.4019,1.0,0.0,0.0,pp20
OK (laughs)  um  I'm a junior  um  at MIT studying environmental engineering.,0.7297,0.38,0.62,0.0,pp20
Um  I'm originally from Minnesota.,0.0,0.0,1.0,0.0,pp20
Um  I'm taking classes this semester in hydrology and environmental transport and I found them really interesting.,0.4576,0.158,0.842,0.0,pp20
Great And I thought that they would apply to this job.,0.6249,0.291,0.709,0.0,pp20
Mmmmhmm.,0.0,0.0,1.0,0.0,pp20
Um  yeah.,0.296,0.688,0.312,0.0,pp20
(Laughs) Great.,0.8074,1.0,0.0,0.0,pp20
So  do you think you're a leader?,0.0,0.0,1.0,0.0,pp20
Tell me why.,0.0,0.0,1.0,0.0,pp20
Um  yeah  I think I've stepped up to a lot of leaderslip  -ship positions since I came to college.,0.296,0.109,0.891,0.0,pp20
I'm president of my living group  um   I'm also on the rowing team and I feel like I've  um  played a leadership role there  um... OK.,0.5994,0.17,0.83,0.0,pp20
Could you be a little bit more specific?,0.0,0.0,1.0,0.0,pp20
Um  so  as president of my living group  um  I lead house meetings every other week  Oh  OK.,0.0,0.0,1.0,0.0,pp20
and I also am involved in resolving problems between people  um  so there's like several different conditions in the house which control  like  say for instance  like  buying food  or like  maintaining the house and I help coordinate everybody and make sure they can work together.,0.9213,0.305,0.649,0.046,pp20
Right.,0.0,0.0,1.0,0.0,pp20
OK.,0.0,0.0,1.0,0.0,pp20
Do you consider yourself a team player?,0.0,0.0,1.0,0.0,pp20
Mmmhmm.,0.0,0.0,1.0,0.0,pp20
And can you give me an example of a time when there was a conflict on your team and you had to resolve it?,0.0772,0.097,0.818,0.086,pp20
Umm... yeah.,0.296,0.688,0.312,0.0,pp20
Umm  let me think.,0.0,0.0,1.0,0.0,pp20
I guess something that's come up in my living group  I was house manager last semester  and so  as part of our living group  people have to do  like  weekly house jobs... Mmmhmm So like  kind of chores  and so we've definitely had conflicts over  like  people who aren't pulling their weight in the house  and there were times I had to step in and take the person aside and let them know that they were adversely affecting the group and that there were  like  consequences if they didn't  um   end up  you know  pulling more weight  and I definitely had success with that and  um  one particular instance I talked to someone and she came back to the next house meeting and apologized to the group  and... Oh ... definitely started to change her behavior.,0.9624,0.163,0.809,0.028,pp20
Oh  that's great.,0.6249,0.672,0.328,0.0,pp20
Ok  so  if you were given an option to change one thing about yourself  what would it be?,0.296,0.115,0.885,0.0,pp20
Um... I don't... I don't think there's anything I would necessarily change about myself.,0.0,0.0,1.0,0.0,pp20
I feel like the experiences I've had have  like  taught me different things... Mmmhmm.,0.6124,0.294,0.706,0.0,pp20
And  um  there's definitely things I'm working on growing in... OK.,0.5267,0.328,0.672,0.0,pp20
But they're things that  like  I don't think they're things I would expect to change overnight  necessarily.,0.5023,0.169,0.831,0.0,pp20
Mmmhmm.,0.0,0.0,1.0,0.0,pp20
Can you give me an idea of what those are?,0.0,0.0,1.0,0.0,pp20
Um  I'm working on being more outgoing  so  like I said  I've stepped up  both on the crew team and as part of my living group... Mmmhmm.,0.7239,0.195,0.805,0.0,pp20
... into leadership roles  and so I think that's changed a lot in the last couple of years and is still changing.,0.0,0.0,1.0,0.0,pp20
Great.,0.6249,1.0,0.0,0.0,pp20
And... why do you think you should get this job?,0.0,0.0,1.0,0.0,pp20
Um  I think I have a lot of experience  um  with the classes I've taken and with previous internship opportunities.,0.3818,0.12,0.88,0.0,pp20
Um  I did an internship at an environment restoration company after my freshman year... Mmmhmm.,0.0,0.0,1.0,0.0,pp20
..which I think helped prepare me.,0.0,0.0,1.0,0.0,pp20
Um  I'm also really excited about going into this field  um  I haven't  b-  had the chance to apply the things I've learned in my classes yet and I think this would be a really good opportunity for me to apply those things  so... I think I would be able to help the company out in that way.,0.9129,0.205,0.795,0.0,pp20
Great!,0.6588,1.0,0.0,0.0,pp20
So uh please tell me a little more about your background.,0.3774,0.205,0.795,0.0,pp21
Okay!So uh I grew up in Tampa  Florida uhm from paretns of Chinese-American decent or they're from China and I'm Chinese American and uhm thoughout my uhm high school career I actually uh taking biology classes cuz I had a really good teacher who like really made uh this subject material engaging uhm and then here in MIT I uhm I first started out as Course 20 which us uh biological engineering and then I took my first programming class and I really liked it  its like uhm I think it sort of matches uhm how I think like telling a computer how to uh do things in a precise way and so thats why I switched to uh Course 67. oh ok.,0.938,0.123,0.877,0.0,pp21
hmmm mmm.,0.0,0.0,1.0,0.0,pp21
Do you think you're a leader?,0.0,0.0,1.0,0.0,pp21
Tell me why?,0.0,0.0,1.0,0.0,pp21
uhm I think that I'm a leader in the sense that like oh let's say that there's a thing that needs to get done then I will make sure that it does get done like uh for example at uh the TAC which is MIT student newspaper uhm every week uhm you have to uh of course like edit things and when the previous uhm campus life editor wanted to move on to a different department I stepped up and got it done uhm yeah.,0.875,0.13,0.87,0.0,pp21
okay.,0.2263,1.0,0.0,0.0,pp21
Do you consider yourself a team player and can you give me an example of a time there was a conflict in your team and how you resolved it?,-0.1531,0.055,0.871,0.074,pp21
uhm so I guess when uhm I havent had a super large amount of time to uh experience doing like really large team projects I imagine I'll get more experience in that as I get into like more project based classes uhm I guess I would uh I'm okay with working with other people as long as uh there's like clear communication and like people are responsible like uhm doing the task that they're supposed to be doing.,0.921,0.211,0.755,0.034,pp21
I guess I would be good working with a team other like responsible people that make sure like you're doing your portion of the job because I would want to make sure I am also doing my portion of the job and like if everybody like does their part then I think that I would be happy working with them.,0.9674,0.332,0.668,0.0,pp21
Good!And if you were given an option to change one thing about yourself what would it be?,0.0,0.0,1.0,0.0,pp21
hmmm well actually statistically I think that I would like to be a little but taller because actually it's true I believe that like taller people are more like uhm they get better like jobs and like they're statistically more likely to succeed just because you're more impressed by a taller person so it's like well sure why not?,0.9919,0.485,0.515,0.0,pp21
It would I think it would make it might have some percentage chance of making my life better.,0.5994,0.234,0.766,0.0,pp21
Also if I maybe there's like another second thing changing my last name to something that starts with A because thats also showing statistically increase your chances of success.,0.8519,0.292,0.708,0.0,pp21
okay!,0.2942,1.0,0.0,0.0,pp21
And last question  why do you think you should get the job?,0.0,0.0,1.0,0.0,pp21
uhm same company okay uhm so I think I hope that uh I have so I would obviously really love working for Google and I would and uhm my skills as being responsible  communicating clearly  my uh computer science skills I learned at MIT I hope will bring uh a lot of value to this position and I also really uh would I hope to embody Google's principles of like uh making really innovative software and like to build to delivering really good customer experiences uhm and I hope that uh they will uh I hope you will also find my contributions you can find my uh contributions useful.,0.9903,0.312,0.688,0.0,pp21
Great!,0.6588,1.0,0.0,0.0,pp21
Tell me a little bit about you  okay?,0.2263,0.213,0.787,0.0,pp22
I'm a Junior in Aerospace Engineering.,0.0,0.0,1.0,0.0,pp22
I'm originally from Kansas City  born in Maryland.,0.0,0.0,1.0,0.0,pp22
And I'm interested in consulting because I'm currently trying to decide between going into Aerospace Engineering and going into consulting.,0.4019,0.124,0.876,0.0,pp22
And one of the things that appeals to me about consulting is that I like the idea of working on different projects and not being stuck doing the same thing all the time and that's something that is very prevalent in engineering and is very traditional about the engineering field.,0.5007,0.081,0.919,0.0,pp22
And  as far as hobbies that I enjoy I am interested in global development  international development and poverty related issues as well as music.,0.5719,0.256,0.639,0.105,pp22
I play cello and am involved with the chamber music society at MIT.,0.34,0.167,0.833,0.0,pp22
Great!,0.6588,1.0,0.0,0.0,pp22
So  do you think you're a leader?,0.0,0.0,1.0,0.0,pp22
Tell me why.,0.0,0.0,1.0,0.0,pp22
Yes  I definitely do think I'm a leader.,0.6597,0.474,0.526,0.0,pp22
Um  one of the global poverty - er - one of the organizations I'm involved with on campus is the Global Poverty Initiative and I'm currently their Director of Action.,-0.765,0.0,0.809,0.191,pp22
And what that means is I'm leading a student group of about twenty people and - um - under the Action branch of the whole organization - and what we do is - in the Action branch - is work on projects on a global scale.,0.0,0.0,1.0,0.0,pp22
So  we have projects currently in India and projects in mexico.,0.0,0.0,1.0,0.0,pp22
And my job is to coordinate these projects and work on what communities we want to go work in and what types of technology related projects we'd like to pursue.,0.4215,0.119,0.881,0.0,pp22
And I've been involved with this organization for two and a half years now  and have been the director of Action for the past two years.,0.0,0.0,1.0,0.0,pp22
Well okay.,0.4588,1.0,0.0,0.0,pp22
Great!,0.6588,1.0,0.0,0.0,pp22
Do you consider yourself a team player  and can you give me an example of a time there was a conflict in your team and you had to resolve it?,0.0772,0.079,0.851,0.07,pp22
I definitely do consider myself a team player.,0.4019,0.278,0.722,0.0,pp22
Um  one time that we experienced some conflict in one of the teams I was working on was actually in one of my Aerospace Engineering classes.,-0.3182,0.0,0.916,0.084,pp22
In this team  our job was to build an RC airplane - design  build and fly it.,0.0,0.0,1.0,0.0,pp22
And we hit some conflicts within our team because - it was mostly everyone was very busy  everyone was very stressed.,-0.6478,0.0,0.782,0.218,pp22
It was towards the end of the year when everyone's preparing for finals and it was just a very high-strung environment  and the projects was very involved.,0.0,0.0,1.0,0.0,pp22
It involved machining  it involved design work  and coordination between a team of four.,0.0,0.0,1.0,0.0,pp22
And what ended up happening was  well  we needed to get in and find the time to actually work on our airplane and build it.,0.2732,0.08,0.92,0.0,pp22
Whereas all of us were involved in student groups and had a very heavy courseload.,0.0,0.0,1.0,0.0,pp22
And conflict did arise.,-0.3182,0.0,0.566,0.434,pp22
And how we ended up solving this was we - we all decided that something needed to change.,0.34,0.124,0.876,0.0,pp22
And we realized that we weren't putting together quality work when we were doing two people at a time or two people coming in or someone cancelling at the last minute - things like that.,0.1779,0.067,0.885,0.048,pp22
We ended up just having to sit down  lay it all out  discuss whatever we needed to do to make sure that we're all here - we're all committing the right amount of time towards this project.,0.3818,0.093,0.907,0.0,pp22
And  honestly it was just very much a group effort and we all sat down and individually realized that we needed to prioritize.,0.4588,0.12,0.88,0.0,pp22
And I needed to put my classes above some of my interests and my hobbies.,0.25,0.125,0.875,0.0,pp22
And that was something that we all decided to do as a group.,0.0,0.0,1.0,0.0,pp22
Great  okay.,0.7184,1.0,0.0,0.0,pp22
Um  so if you were given an option to change one thing about yourself what would it be?,0.0,0.0,1.0,0.0,pp22
One thing about myself... being more on top of my work.,0.2682,0.172,0.828,0.0,pp22
Something that I definitely need for myself is a deadline and I've always been like that.,0.6369,0.271,0.729,0.0,pp22
If you don't give me a deadline sometimes I'll end up dragging my feet  and things get done at the last minute and it's just... disorganization.,0.0,0.0,1.0,0.0,pp22
And so I've been trying to deal with that by making my own small deadlines - personal deadlines - writing them down  making lists and making sure that I prioritize things in advance.,0.3182,0.067,0.933,0.0,pp22
But that's something that has taken me probably two years at MIT to learn how to do - and I'm finally getting it.,0.0,0.0,1.0,0.0,pp22
Good!,0.4926,1.0,0.0,0.0,pp22
Okay  and why do you think should get the job?,0.2263,0.174,0.826,0.0,pp22
I think I should get the job because I have a very interesting background  and I believe that I have very unique experiences that could add a lot to your organization.,0.4576,0.091,0.909,0.0,pp22
As someone with an engineering background but - as well as a management background because I am minoring in management at MIT.,0.3919,0.112,0.888,0.0,pp22
And I think that combination adds a lot to the environment that you would like to have at your company.,0.3612,0.116,0.884,0.0,pp22
I think putting a lot of people together in one environment trying to work on the same projects with the same background is something that is very limiting.,0.0,0.0,1.0,0.0,pp22
And I believe that I could add quite a bit of diversity and unique perspective to your team.,0.0,0.0,1.0,0.0,pp22
Can you tell me a little bit more about your background?,0.0,0.0,1.0,0.0,pp24
Sure  so I'm currently a junior at MIT.,0.3182,0.247,0.753,0.0,pp24
I grew up outside of the city in a suburb called Naydec.,0.0,0.0,1.0,0.0,pp24
I've danced my whole life and continued to do so at MIT and I'm studying biology currently and for my humanities concentration  concentrating on Spanish.,0.0,0.0,1.0,0.0,pp24
Oh  great!,0.6588,0.815,0.185,0.0,pp24
So do you think you are a leader?,0.0,0.0,1.0,0.0,pp24
I would say definitely in various aspects of my life I try to step up as a leader.,0.4019,0.137,0.863,0.0,pp24
I'm currently involved in an internship through HELLO at MIT and so the point of the internship is to act as a peer network engagement intern.,0.4588,0.107,0.893,0.0,pp24
So basically  reaching out to other Jewish students at MIT  who may not be looking for a very religious atmosphere.,0.2682,0.099,0.901,0.0,pp24
But would just like to know that there are other Jewish students that they could connect with.,0.5023,0.169,0.831,0.0,pp24
And so my role as the leader of the situation is to connect various students who have similar interests either in community service or things like that and sort of set up a network for them.,0.5423,0.117,0.883,0.0,pp24
Great!,0.6588,1.0,0.0,0.0,pp24
So do you consider yourself a team player?,0.0,0.0,1.0,0.0,pp24
And can you give me an example of a time when there was a conflict in your team and you had to resolve it?,0.0772,0.097,0.818,0.086,pp24
Sure  I definitely hope that I'm a team player.,0.7845,0.568,0.432,0.0,pp24
Okay.,0.2263,1.0,0.0,0.0,pp24
I think.,0.0,0.0,1.0,0.0,pp24
It's definitely important to have leadership qualities but also to be able to mesh well within a group.,0.5994,0.282,0.718,0.0,pp24
I think this comes out a lot in lab settings where everyone from undergraduate students to PhD candidates and post Docs really have to work together on similar projects.,0.0,0.0,1.0,0.0,pp24
And so being able to voice your opinions or your concerns about experiments while still taking the feedback from others  and making it more of a group effort than a hierarchy  I would say would be crucial.,0.0,0.0,1.0,0.0,pp24
Okay.,0.2263,1.0,0.0,0.0,pp24
So if you were given an option to change one thing about yourself what would it be?,0.0,0.0,1.0,0.0,pp24
I think  if I could change one thing it would probably be to have a little bit more self confidence.,0.5542,0.158,0.842,0.0,pp24
I think I externally try to project a calm and outgoing personality  but inside I can tend to be a little bit shyer.,0.1198,0.13,0.799,0.071,pp24
And so I think just being able to walk into any kind of either social or business related situation and really have that confidence without having to second guess myself would help move along both career wise and just with relationships with other people.,0.8542,0.186,0.814,0.0,pp24
And last question.,0.0,0.0,1.0,0.0,pp24
Why do you think you should get the job?,0.0,0.0,1.0,0.0,pp24
I think coming with a background from MIT would definitely help me out in this job.,0.6597,0.278,0.722,0.0,pp24
The biology department at MIT is really unique in its focus on research.,0.0,0.0,1.0,0.0,pp24
And so I think coming into this lab setting with that background would make a strong candidate.,0.5106,0.171,0.829,0.0,pp24
How are you doing today?,0.0,0.0,1.0,0.0,pp25
I'm good  how are you?,0.4404,0.42,0.58,0.0,pp25
Good!,0.4926,1.0,0.0,0.0,pp25
Can you tell me some more about your background?,0.0,0.0,1.0,0.0,pp25
Um  yeah.,0.296,0.688,0.312,0.0,pp25
I am  wait sorry  am I .. [crosstalk] Ok  um I'm Kathleen  I'm a Core 16 major here at MITU  that's um aeronautical and astronautical engineering  if you're not familiar with our numbering system.,0.2263,0.062,0.901,0.037,pp25
Um  so I've been taking a lot of classes in aeronautical and astronautical engineering.,0.0,0.0,1.0,0.0,pp25
Including some um propulsion classes  um uh principals of automatic control  um dynamics  aerodynamics  um computer engineering  so I am familiar with job and mat lab  Um  and then also within those classes I've done some lab work.,0.2732,0.054,0.946,0.0,pp25
Um  including work on um a remote control airplane.,0.0,0.0,1.0,0.0,pp25
Um  which we did for a competition last spring.,0.0,0.0,1.0,0.0,pp25
Um  it was in teams of three.,0.0,0.0,1.0,0.0,pp25
Um  my team  and the the goal is to maximize the ratio of the um the turn rate times the pay turn rate squared times the pay load.,-0.2023,0.0,0.903,0.097,pp25
Mmm Hmm Um  my team worked really hard on that um and uh we ended up coming in second  um.,-0.1761,0.0,0.918,0.082,pp25
That's great.,0.6249,0.804,0.196,0.0,pp25
